Sample	command
COPE-0633.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0633.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0633.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0633.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0633.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0633.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0633.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0633.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0633.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0633.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0634.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0634.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0634.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0634.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0634.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0634.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0634.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0634.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0634.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0634.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0635.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0635.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0635.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0635.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0635.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0635.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0635.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0635.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0635.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0635.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0636.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0636.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0636.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0636.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0636.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0636.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0636.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0636.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0636.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0636.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0637.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0637.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0637.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0637.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0637.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0637.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0637.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0637.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0637.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0637.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0638.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0638.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0638.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0638.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0638.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0638.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0638.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0638.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0638.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0638.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0639.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0639.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0639.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0639.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0639.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0639.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0639.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0639.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0639.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0639.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0640.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0640.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0640.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0640.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0640.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0640.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0640.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0640.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0640.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0640.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0641.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0641.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0641.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0641.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0641.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0641.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0641.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0641.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0641.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0641.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0642.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0642.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0642.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0642.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0642.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0642.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0642.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0642.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0642.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0642.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0643.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0643.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0643.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0643.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0643.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0643.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0643.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0643.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0643.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0643.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0644.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0644.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0644.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0644.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0644.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0644.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0644.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0644.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0644.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0644.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0645.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0645.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0645.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0645.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0645.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0645.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0645.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0645.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0645.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0645.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0646.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0646.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0646.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0646.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0646.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0646.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0646.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0646.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0646.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0646.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0647.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0647.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0647.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0647.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0647.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0647.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0647.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0647.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0647.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0647.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0648.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0648.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0648.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0648.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0648.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0648.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0648.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0648.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0648.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0648.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0649.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0649.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0649.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0649.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0649.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0649.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0649.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0649.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0649.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0649.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0650.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0650.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0650.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0650.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0650.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0650.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0650.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0650.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0650.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0650.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0651.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0651.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0651.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0651.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0651.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0651.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0651.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0651.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0651.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0651.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0652.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0652.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0652.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0652.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0652.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0652.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0652.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0652.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0652.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0652.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0653.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0653.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0653.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0653.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0653.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0653.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0653.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0653.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0653.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0653.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0654.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0654.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0654.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0654.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0654.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0654.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0654.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0654.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0654.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0654.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0655.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0655.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0655.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0655.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0655.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0655.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0655.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0655.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0655.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0655.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0656.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0656.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0656.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0656.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0656.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0656.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0656.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0656.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0656.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0656.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0657.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0657.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0657.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0657.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0657.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0657.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0657.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0657.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0657.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0657.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0658.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0658.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0658.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0658.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0658.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0658.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0658.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0658.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0658.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0658.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
COPE-0659.r1r2_fastp	fastp --in1 NovaSeq/fq_fp1/COPE-0659.r1.fq.gz --in2 NovaSeq/fq_fp1/COPE-0659.r2.fq.gz --out1 NovaSeq/fq_fp1_fp2/COPE-0659.fp2_r1.fq.gz --out2 NovaSeq/fq_fp1_fp2/COPE-0659.fp2_r2.fq.gz --unpaired1 NovaSeq/fq_fp1_fp2/COPE-0659.fp2_unprd.fq.gz --unpaired2 NovaSeq/fq_fp1_fp2/COPE-0659.fp2_unprd.fq.gz --failed_out NovaSeq/fq_fp1_fp2/failed/COPE-0659.fp2_fail.fq.gz -h NovaSeq/fq_fp1_fp2/COPE-0659.r1r2_fastp.html -j NovaSeq/fq_fp1_fp2/COPE-0659.r1r2_fastp.json --detect_adapter_for_pe --length_required 140 --cut_front --cut_front_window_size 1 --cut_front_mean_quality 20 --cut_right --cut_right_window_size 10 --cut_right_mean_quality 20 --disable_trim_poly_g --correction --disable_quality_filtering --unqualified_percent_limit 40 --report_title Second Trim 4 De Novo R1R2 
